O3	O3	Temperature	Temperature	CO	CO	CO2	CO2
51064984	0.07	-6.22	23.85	444.59	5.73	2.29	447.5
51064984	0.05	-7.83	23.81	453.26	5.73	2.29	447.35
17703.18	0.19	-5.9	23.85	448.02	5.65	2.29	447.55
51064984	0.14	-7.19	23.79	462.21	5.82	2.29	447.3
51064984	0.05	-4.61	23.73	460.4	5.65	2.4	421.91
636.22	0.13	1.83	23.76	482.97	5.65	2.28	421.86
3525.28	0.03	-4.29	23.62	481.02	5.55	2.28	421.86
51064984	-0.02	14.74	23.7	499.05	5.69	2.31	421.91
51064984	0.13	-3.96	23.73	518.24	5.27	2.31	396.87
51064984	0.06	-9.45	23.61	531.73	5.42	2.3	396.82
51064984	0.01	-10.09	23.54	520.45	5.4	2.46	396.62
51064984	0.07	-9.12	23.45	501.13	5.4	2.29	396.52
533.62	0.08	-8.48	23.47	560.56	5.39	2.31	396.52
51064984	0.08	-8.8	23.44	527.17	5.45	2.29	396.52
912.7	0.04	-9.12	23.38	522.68	5.35	2.31	396.47
3525.28	0.07	-1.7	23.37	560.56	5.35	2.74	396.47
51064984	0.06	-13	23.36	558.06	5.45	2.31	396.52
51064984	0.2	-14.61	23.36	570.77	5.32	2.6	396.52
51064984	0.02	-12.35	23.23	550.67	5.32	2.3	396.52
51064984	0.11	-9.45	23.26	538.7	5.42	2.31	371.38
51064984	0.04	-19.77	23.18	565.63	5.41	2.29	371.33
51064984	0.05	-19.77	23.2	558.06	5.54	2.55	371.33
51064984	0.1	-17.83	23.2	563.08	5.44	2.54	396.47
51064984	0.09	-9.77	23.21	563.08	5.36	2.32	396.52
51064984	0.1	5.38	23.19	563.08	5.33	2.55	396.72
51064984	0.08	-13.96	23.25	565.63	5.33	2.32	396.52
51064984	0.12	-12.03	23.28	581.29	5.36	2.3	371.43
51064984	0.08	-16.54	23.32	529.45	5.34	2.3	396.62
1949.47	0.09	-1.7	23.28	524.92	5.35	2.29	396.62
51064984	0.03	-12.35	23.26	558.06	5.25	2.31	396.82
51064984	0.04	-6.87	23.25	531.73	5.45	2.31	396.57
51064984	0.04	-14.29	23.23	558.06	5.3	2.31	371.38
51064984	0.15	-11.06	23.25	570.77	5.3	2.32	396.47
51064984	0.14	8.29	23.26	545.83	5.19	2.59	396.52
51064984	0	-1.38	23.32	555.58	5.15	2.3	396.52
1245.95	0.06	-14.29	23.25	560.56	5.33	2.37	396.57
51064984	0.09	-14.93	23.28	560.56	5.3	2.3	396.97
51064984	0.13	1.83	23.28	548.24	5.19	2.32	396.52
51064984	0.1	12.48	23.2	565.63	5.24	2.31	396.72
51064984	0.12	3.12	23.2	558.06	5.21	2.31	396.57
51064984	0.13	-14.61	23.18	518.24	5.24	2.29	396.47
51064984	0.1	-15.58	23.29	541.06	5.25	2.32	396.52
51064984	0.06	-14.29	23.5	518.24	5.19	2.3	396.82
51064984	0.04	-13.96	23.46	522.68	5.26	2.3	371.83
51064984	0.1	-17.51	23.34	573.37	5.17	2.45	371.73
51064984	0.08	-14.93	23.37	568.19	5.33	2.32	396.97
51064984	0.11	-20.74	23.45	558.06	5.33	2.47	371.88
3525.28	0	-17.83	23.52	520.45	5.23	2.3	371.78
